iter	Passed	Remaining
0	93	93375
1	170	85119
2	245	81429
3	344	85820
4	437	86996
5	515	85427
6	596	84599
7	727	90167
8	881	97031
9	992	98214
10	1111	99950
11	1199	98728
12	1283	97449
13	1361	95909
14	1447	95061
15	1537	94564
16	1619	93660
17	1697	92614
18	1782	92013
19	1866	91457
20	1947	90810
21	2031	90323
22	2116	89885
23	2206	89716
24	2359	92015
25	2659	99637
26	2751	99149
27	2834	98395
28	2922	97847
29	2997	96922
30	3080	96283
31	3163	95700
32	3245	95097
33	3327	94533
34	3413	94103
35	3496	93640
36	3581	93221
37	3663	92734
38	3752	92465
39	3839	92137
40	3920	91689
41	3996	91160
42	4078	90763
43	4163	90453
44	4241	90024
45	4328	89766
46	4410	89438
47	4498	89212
48	4578	88856
49	4662	88593
50	4744	88291
51	4829	88048
52	4925	88010
53	5015	87861
54	5101	87646
55	5181	87345
56	5267	87139
57	5356	86997
58	5445	86856
59	5526	86588
60	5606	86306
61	5695	86161
62	5780	85971
63	5867	85813
64	5955	85660
65	6046	85573
66	6131	85380
67	6219	85237
68	6304	85070
69	6385	84841
70	6468	84634
71	6546	84377
72	6636	84275
73	6724	84148
74	6801	83890
75	6888	83744
76	6981	83690
77	7071	83589
78	7162	83498
79	7245	83318
80	7330	83168
81	7411	82977
82	7493	82789
83	7585	82713
84	7669	82555
85	7759	82470
86	7843	82312
87	7926	82152
88	8010	81991
89	8089	81797
90	8177	81687
91	8262	81544
92	8345	81391
93	8428	81232
94	8515	81118
95	8604	81022
96	8696	80959
97	8785	80862
98	8871	80735
99	8953	80579
100	9035	80422
101	9118	80274
102	9207	80183
103	9286	80003
104	9364	79817
105	9449	79696
106	9531	79546
107	9621	79466
108	9704	79325
109	9792	79233
110	9876	79098
111	9967	79024
112	10049	78886
113	10136	78776
114	10216	78619
115	10297	78475
116	10382	78360
117	10470	78259
118	10558	78170
119	10644	78062
120	10727	77926
121	10814	77827
122	10898	77707
123	10986	77615
124	11064	77452
125	11156	77384
126	11237	77247
127	11326	77160
128	11416	77082
129	11508	77021
130	11600	76951
131	11696	76911
132	11792	76871
133	11881	76787
134	11976	76735
135	12069	76679
136	12161	76610
137	12248	76510
138	12336	76413
139	12423	76316
140	12515	76247
141	12609	76190
142	12699	76110
143	12797	76076
144	12894	76033
145	12983	75944
146	13073	75859
147	13168	75810
148	13263	75753
149	13353	75671
150	13448	75611
151	13542	75555
152	13644	75532
153	13733	75445
154	13827	75380
155	13909	75253
156	13999	75168
157	14082	75049
158	14174	74971
159	14265	74892
160	14357	74821
161	14460	74802
162	14565	74792
163	14667	74766
164	14767	74734
165	14862	74668
166	14962	74634
167	15060	74583
168	15152	74506
169	15240	74411
170	15339	74362
171	15437	74314
172	15539	74282
173	15635	74222
174	15726	74141
175	15816	74049
176	15904	73951
177	15993	73857
178	16081	73759
179	16171	73671
180	16262	73586
181	16352	73497
182	16442	73405
183	16540	73354
184	16640	73307
185	16730	73218
186	16823	73142
187	16910	73038
188	17013	73003
189	17108	72935
190	17199	72851
191	17294	72782
192	17397	72743
193	17494	72684
194	17593	72629
195	17692	72575
196	17791	72520
197	17880	72426
198	17978	72367
199	18079	72318
200	18175	72248
201	18276	72200
202	18367	72111
203	18462	72039
204	18560	71979
205	18660	71924
206	18749	71828
207	18839	71736
208	18925	71626
209	19016	71538
210	19112	71467
211	19199	71362
212	19285	71256
213	19376	71167
214	19465	71073
215	19558	70990
216	19648	70896
217	19741	70816
218	19828	70713
219	19923	70638
220	20011	70537
221	20103	70453
222	20184	70330
223	20270	70223
224	20372	70171
225	20464	70085
226	20558	70008
227	20647	69910
228	20738	69821
229	20825	69720
230	20918	69637
231	20999	69514
232	21085	69409
233	21177	69325
234	21262	69215
235	21349	69115
236	21439	69021
237	21532	68938
238	21621	68845
239	21710	68749
240	21802	68662
241	21891	68568
242	21993	68514
243	22098	68469
244	22194	68395
245	22291	68325
246	22393	68268
247	22498	68219
248	22596	68153
249	22695	68085
250	22793	68017
251	22895	67958
252	22997	67902
253	23095	67830
254	23191	67755
255	23283	67668
256	23397	67642
257	23497	67578
258	23606	67538
259	23924	68092
260	24069	68150
261	24181	68113
262	24289	68065
263	24385	67984
264	24503	67962
265	24617	67929
266	24720	67865
267	24818	67789
268	24928	67741
269	25035	67689
270	25126	67591
271	25225	67516
272	25327	67446
273	25439	67405
274	25545	67347
275	25646	67275
276	25747	67202
277	25850	67136
278	25945	67049
279	26046	66976
280	26141	66889
281	26244	66821
282	26338	66730
283	26461	66713
284	26577	66677
285	26695	66644
286	26800	66580
287	26909	66526
288	27012	66457
289	27123	66405
290	27226	66336
291	27338	66287
292	27441	66214
293	27556	66172
294	27667	66120
295	27773	66055
296	27881	65995
297	27994	65947
298	28093	65864
299	28199	65798
300	28295	65709
301	28398	65635
302	28500	65560
